run_id,dataset,missing_rate,degradation_mode,quality_module,uncertainty_module,seed,epochs,train_loss,valid_loss,mae,corr,acc7,acc5,acc2_non_zero,f1_non_zero,acc2,f1,note
sanity_mosi_dare_mr02_s5576_e1,MOSI,0.2,multi-level,on,on,5576,1,2.3694,2.4078,1.2110,0.6789,0.1895,0.1895,0.8110,0.8093,0.7843,0.7812,sanity check only
pilot_mosi_dare_mr02_s5576_e20,MOSI,0.2,multi-level,on,on,5576,20,0.7130,1.4327,0.7491,0.7733,0.4475,0.5073,0.8216,0.8221,0.8090,0.8089,pilot comparison on MOSI mr=0.2 seed=5576
pilot_mosi_dare_mr00_s5576_e20,MOSI,0.0,multi-level,on,on,5576,20,0.5520,1.3770,0.7280,0.7853,0.4534,0.5190,0.8415,0.8413,0.8222,0.8214,pilot comparison on MOSI multi missing rates seed=5576
pilot_mosi_dare_mr01_s5576_e20,MOSI,0.1,multi-level,on,on,5576,20,0.5892,1.4610,0.7577,0.7838,0.4125,0.4665,0.8506,0.8497,0.8236,0.8217,pilot comparison on MOSI multi missing rates seed=5576
pilot_mosi_dare_mr03_s5576_e20,MOSI,0.3,multi-level,on,on,5576,20,0.7408,1.5504,0.7695,0.7552,0.4359,0.4985,0.8354,0.8353,0.8178,0.8171,pilot comparison on MOSI multi missing rates seed=5576
pilot_mosi_dare_mr05_s5576_e20,MOSI,0.5,multi-level,on,on,5576,20,0.8810,1.6497,0.8338,0.7285,0.3994,0.4461,0.8216,0.8225,0.8047,0.8050,pilot comparison on MOSI multi missing rates seed=5576
pilot_mosi_dare_mr02_s1111_e20,MOSI,0.2,multi-level,on,on,1111,20,0.5221,1.4295,0.7605,0.7701,0.4461,0.5073,0.8323,0.8308,0.8061,0.8035,pilot multi-seed check on MOSI seed=1111
pilot_mosi_dare_mr03_s1111_e20,MOSI,0.3,multi-level,on,on,1111,20,0.6281,1.5146,0.7677,0.7627,0.4329,0.5015,0.8186,0.8192,0.8003,0.8002,pilot multi-seed check on MOSI seed=1111
pilot_mosi_dare_mr05_s1111_e20,MOSI,0.5,multi-level,on,on,1111,20,0.7612,1.5201,0.8071,0.7576,0.4038,0.4665,0.8049,0.8061,0.7945,0.7950,pilot multi-seed check on MOSI seed=1111
sanity_mosei_dare_mr02_s5576_e1,MOSEI,0.2,multi-level,on,on,5576,1,1.3870,1.2165,0.5890,0.7305,0.4842,0.4866,0.8379,0.8323,0.8317,0.8291,MOSEI sanity check
