run_id,dataset,missing_rate,model_version,seed,epochs,mae,corr,acc2,f1,note
official_mosi_hme_mr02_s1111_e100,MOSI,0.2,HME,1111,100,0.9173,0.674,0.7595,0.7601,official MOSI mr=0.2 multi-seed check
official_mosi_hme_mr02_s2222_e100,MOSI,0.2,HME,2222,100,0.8425,0.7188,0.7988,0.7964,official MOSI mr=0.2 multi-seed check
official_mosi_hme_mr02_s5576_e100,MOSI,0.2,HME,5576,100,0.8452,0.705,0.7813,0.7787,official MOSI mr=0.2 multi-seed check
official_mosi_dare_mr02_s1111_e100,MOSI,0.2,DARE-HME,1111,100,0.7547,0.7633,0.809,0.8072,official MOSI mr=0.2 multi-seed check
official_mosi_dare_mr02_s2222_e100,MOSI,0.2,DARE-HME,2222,100,0.7611,0.7748,0.8163,0.8153,official MOSI mr=0.2 multi-seed check
official_mosi_dare_mr02_s5576_e100,MOSI,0.2,DARE-HME,5576,100,0.7329,0.7744,0.8192,0.8188,official MOSI mr=0.2 multi-seed check
official_mosi_hme_mr03_s1111_e100,MOSI,0.3,HME,1111,100,0.9297,0.6427,0.7347,0.7351,official MOSI mr=0.3 multi-seed check
official_mosi_hme_mr03_s2222_e100,MOSI,0.3,HME,2222,100,0.9083,0.6586,0.7536,0.7503,official MOSI mr=0.3 multi-seed check
official_mosi_hme_mr03_s5576_e100,MOSI,0.3,HME,5576,100,0.9582,0.6366,0.7376,0.7383,official MOSI mr=0.3 multi-seed check
official_mosi_dare_mr03_s1111_e100,MOSI,0.3,DARE-HME,1111,100,0.8026,0.7703,0.7915,0.792,official MOSI mr=0.3 multi-seed check
official_mosi_dare_mr03_s2222_e100,MOSI,0.3,DARE-HME,2222,100,0.7611,0.7703,0.812,0.8121,official MOSI mr=0.3 multi-seed check
official_mosi_dare_mr03_s5576_e100,MOSI,0.3,DARE-HME,5576,100,0.7577,0.7706,0.8251,0.8242,official MOSI mr=0.3 multi-seed check
official_mosi_hme_mr05_s1111_e100,MOSI,0.5,HME,1111,100,1.0803,0.5456,0.6953,0.6958,official MOSI mr=0.5 multi-seed check
official_mosi_hme_mr05_s2222_e100,MOSI,0.5,HME,2222,100,1.0807,0.5351,0.6851,0.6843,official MOSI mr=0.5 multi-seed check
official_mosi_hme_mr05_s5576_e100,MOSI,0.5,HME,5576,100,1.1426,0.5445,0.6545,0.6476,official check on MOSI mr=0.5 seed=5576 epochs=100
official_mosi_dare_mr05_s1111_e100,MOSI,0.5,DARE-HME,1111,100,0.7714,0.746,0.7857,0.7859,official MOSI mr=0.5 multi-seed check
official_mosi_dare_mr05_s2222_e100,MOSI,0.5,DARE-HME,2222,100,0.818,0.7367,0.7755,0.7745,official MOSI mr=0.5 multi-seed check
official_mosi_dare_mr05_s5576_e100,MOSI,0.5,DARE-HME,5576,100,0.8122,0.7313,0.7828,0.7832,official check on MOSI mr=0.5 seed=5576 epochs=100
